train,valid
0.6768515230429293,0.848
0.831325954861111,0.8772
0.9050810842803031,0.8664
0.9346689551767677,0.8532
0.9523901120580809,0.8488
0.9563506155303031,0.848
0.9569523358585859,0.8476
0.9625009864267677,0.85
0.9685280539772727,0.8508
0.9723997790404041,0.8448
0.9751962989267677,0.846
0.9737314551767677,0.816
0.9748411852904041,0.8388
0.9778941761363636,0.8468
0.9814453125,0.8432
0.9838176688762627,0.8376
0.9875364977904041,0.844
0.9850852272727273,0.8472
0.9862837357954546,0.8428
0.98828125,0.8404
